CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000643243;0000642936;CITY;РљРѕР·Р»РѕРІРєР°;;;20075;429430;;;
0000643354;0000028075;SUBREGION;РљСЂР°СЃРЅРѕР°СЂРјРµР№СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000643817;0000028075;SUBREGION;РљСЂР°СЃРЅРѕС‡РµС‚Р°Р№СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000644112;0000028075;SUBREGION;РљРѕРјСЃРѕРјРѕР»СЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000644523;0000028075;SUBREGION;РњРѕСЂРіР°СѓС€СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000645259;0000028075;SUBREGION;РњР°СЂРёРёРЅСЃРєРѕ-РџРѕСЃР°РґСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000645265;0000645259;CITY;РњР°СЂРёРёРЅСЃРєРёР№ РџРѕСЃР°Рґ;;;20076;429570;;;
0000645845;0000028075;SUBREGION;РџРѕСЂРµС†РєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000646065;0000028075;SUBREGION;Р¦РёРІРёР»СЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000646747;0000646065;CITY;Р¦РёРІРёР»СЊСЃРє;;;20077;429900;;;
0000646822;0000028075;SUBREGION;РЈСЂРјР°СЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000647396;0000028075;SUBREGION;Р§РµР±РѕРєСЃР°СЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000648617;0000028075;SUBREGION;РЁРµРјСѓСЂС€РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000648842;0000028075;SUBREGION;РЁСѓРјРµСЂР»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000649189;0000028075;SUBREGION;РЇРґСЂРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000649612;0000649189;CITY;РЇРґСЂРёРЅ;;;20079;429060;;;429061,429060
0000649733;0000028075;SUBREGION;РЇРЅС‚РёРєРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000650106;0000028075;SUBREGION;РЇР»СЊС‡РёРєСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000650509;0000028076;CITY;РЎР°РјР°СЂР°;;;51;443123;;;443045,443028,443090,443000,443122,443030,443026,443009,443067,443048,443070,443031,443029,443056,443036,443011,443022,443098,443017,443096,443035,443117,443107,443109,443016,443112,443072,443050,443044,443125,443068,443086,443008,443052,443046,443110,443082,443105,443023,443066,443079,443093,443076,443051,443005,443092,443100,443063,443002,443903,443058,443013,443080,443020,443095,443904,443010,443001,443041,443071,443042,443004,443047,443015,443061,443012,443099,443101,443065,443033,443085,443902,443901,446379
0000652153;0000028076;CITY;Р–РёРіСѓР»РµРІСЃРє;;;11132;445350;;;445350,445359,445351,445354,445352,445366,445134,445365,445362,445363,445364
0000652587;0000028076;CITY;РўРѕР»СЊСЏС‚С‚Рё;;;240;445000;;;445019,445004,445013,445020,445000,445012,445010,445003,445091,445022,445007,445092,445011,445009,445046,445015,445045,445021,445017,445041,445005,445047,445044,445026,445031,445043,445042,445037,445024,445036,445027,445040,445051,445028,445030,445039,445032
0000653294;0000028076;CITY;Р§Р°РїР°РµРІСЃРє;;;11141;446100;;;446115,446100,446113,446114,446112,446116,446103,446101,446110,446104,446111,446230,443001
0000653526;0000028076;CITY;РќРѕРІРѕРєСѓР№Р±С‹С€РµРІСЃРє;;;11135;446200;;;446209,446205,446200,446201,446208,446217,446213,446219,446206,446218,446100,446104
0000653969;0000028076;CITY;РћРєС‚СЏР±СЂСЊСЃРє;;;11136;445240;;;445244,445245,445240,445246,445243,445247,445241,445250
0000654215;0000028076;CITY;РћС‚СЂР°РґРЅС‹Р№;;;11137;346605;;;446303,446304,446301,446300,446306,446305
0000654373;0000028076;CITY;РџРѕС…РІРёСЃС‚РЅРµРІРѕ;;;11138;446450;;;446454,446450,446451,446453,446455,446452,446459
0000654543;0000028076;CITY;РЎС‹Р·СЂР°РЅСЊ;;;11139;446000;;;446013,446021,446005,446012,446001,446011,446020,446024,446022,446026,446010,446008,446031,446018,446015,446014,446029,446002,446019,446023,446028,446007,446025,446000
0000655390;0000028076;CITY;РљРёРЅРµР»СЊ;;;11133;446430;;;446430,446436,446433,446435,446431,446442,446441,446462
0000655915;0000028076;SUBREGION;Р‘РµР·РµРЅС‡СѓРєСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000656404;0000028076;SUBREGION;РђР»РµРєСЃРµРµРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000656574;0000028076;SUBREGION;Р‘РѕРіР°С‚РѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000656768;0000028076;SUBREGION;Р‘РѕСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000657123;0000028076;SUBREGION;Р‘РѕР»СЊС€РµРіР»СѓС€РёС†РєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000657416;0000028076;SUBREGION;Р‘РѕР»СЊС€РµС‡РµСЂРЅРёРіРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000657689;0000028076;SUBREGION;Р•Р»С…РѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000657874;0000028076;SUBREGION;РљР°РјС‹С€Р»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000658047;0000028076;SUBREGION;РљРёРЅРµР»СЊ-Р§РµСЂРєР°СЃСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000658621;0000028076;SUBREGION;Р�СЃР°РєР»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000658853;0000028076;SUBREGION;РљРёРЅРµР»СЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000659446;0000028076;SUBREGION;РљР»СЏРІР»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000659643;0000028076;SUBREGION;РљСЂР°СЃРЅРѕСЏСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000660886;0000028076;SUBREGION;РљРѕС€РєРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000661211;0000028076;SUBREGION;РљСЂР°СЃРЅРѕР°СЂРјРµР№СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000661543;0000028076;SUBREGION;РќРµС„С‚РµРіРѕСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000661564;0000661543;CITY;РќРµС„С‚РµРіРѕСЂСЃРє;;;11134;446600;;;
0000661761;0000028076;SUBREGION;РџСЂРёРІРѕР»Р¶СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000662035;0000028076;SUBREGION;РџРµСЃС‚СЂР°РІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000662264;0000028076;SUBREGION;РџРѕС…РІРёСЃС‚РЅРµРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000662691;0000028076;SUBREGION;РЎС‚Р°РІСЂРѕРїРѕР»СЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000666350;0000028076;SUBREGION;РЎРµСЂРіРёРµРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000666826;0000028076;SUBREGION;РЎС‹Р·СЂР°РЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000667548;0000028076;SUBREGION;РҐРІРѕСЂРѕСЃС‚СЏРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000667741;0000028076;SUBREGION;Р§РµР»РЅРѕ-Р’РµСЂС€РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000668093;0000028076;SUBREGION;РЁРµРЅС‚Р°Р»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000668385;0000028076;SUBREGION;Р’РѕР»Р¶СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000669763;0000028076;SUBREGION;РЁРёРіРѕРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000670178;0000028077;CITY;РџРµСЂРјСЊ;;;50;614000;;;614014,614081,614051,614065,614068,614033,614000,614007,614053,614054,614023,614042,614026,614056,614022,614030,614018,614029,614089,614058,614066,614097,614037,614038,614067,614025,614047,614107,614113,614036,614060,614111,614034,614104,614112,614109,614032,614002,614016,614013,614083,614046,614094,614090,614101,614031,614017,614039,614087,614010,614095,614088,614077,614070,614012,614064,617020,614503,614500,614506,614105
0000672223;0000028077;CITY;Р‘РµСЂРµР·РЅРёРєРё;;;20237;152183;;;618416,618400,618426,618404,618417,618419,618430,618409
0000672618;0000028077;CITY;Р“СЂРµРјСЏС‡РёРЅСЃРє;;;20626;618270;;;618270,618277,618282,618283,618284
0000672852;0000028077;CITY;РђР»РµРєСЃР°РЅРґСЂРѕРІСЃРє;;;20653;618320;;;618320,618340,618346,618335,618334,618345,618323,618333
0000673247;0000028077;CITY;Р“СѓР±Р°С…Р°;;;20248;618250;;;618250,618268,618265,618261,618262,618266
0000673564;0000028077;CITY;Р”РѕР±СЂСЏРЅРєР°;;;20236;618740;;;618740,618742,618703,618722,618735,618716,618714,618736,618720,618701,618719,618706,618715,618708,618717,618707,618711,618710,618712,618730,618709
0000674573;0000028077;CITY;РљРёР·РµР»;;;20635;618350;;;618350,618370,618362,618381,618382,618384,618383
0000675089;0000028077;CITY;Р›С‹СЃСЊРІР°;;;20244;618441;;;618909,618907,618900,618904,618910,618906,618903,618905,618924,618968,618965,618962,618940,618950,618941,618920,618926,618967,618937,618925,618931,618966,618964,618961
0000675770;0000028077;CITY;РљСѓРЅРіСѓСЂ;;;20250;617470;;;617470,617473,617475,617472,617471,617474,617178
0000676040;0000028077;CITY;РЎРѕР»РёРєР°РјСЃРє;;;11110;618540;;;618554,618548,618556,618541,618542,618547,618551,618544,618545,618553,618540,618546
0000676322;0000028077;CITY;Р§Р°Р№РєРѕРІСЃРєРёР№;;;20243;617760;;;617762,617761,617766,617763,617760,617765,617748,617742,617751,617750,617753,617759,617747,617745,617754,617757
0000676868;0000028077;CITY;Р§СѓСЃРѕРІРѕР№;;;20712;618200;;;618200,618201,618203,618204,618202,618220,618236,618206,618205,618232,618215,618242,618245,618230,618223,618243,618235,618225,618226,618240,618231,618244,618221,618222
0000677685;0000028077;CITY;РљСѓРґС‹РјРєР°СЂ;;;11076;619000;;;
0000677917;0000028077;SUBREGION;Р‘РµСЂРµР·РѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000678244;0000028077;SUBREGION;Р‘Р°СЂРґС‹РјСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
